Year;Commercial services (J-A);Goods-related services (J-A);Transport (J-A);Air transport (J-A);Travel (J-A);Financial services (J-A);Telecommunications, computer, and information services (J-A);Commercial services (J-C);Goods-related services (J-C);Transport (J-C);Air transport (J-C);Travel (J-C);Financial services (J-C);Telecommunications, computer, and information services (J-C);Commercial services (J-HK);Goods-related services (J-HK);Transport (J-HK);Air transport (J-HK);Travel (J-HK);Financial services (J-HK);Telecommunications, computer, and information services (J-HK);Commercial services (J-K);Goods-related services (J-K);Transport (J-K);Air transport (J-K);Travel (J-K);Financial services (J-K);Telecommunications, computer, and information services (J-K);Commercial services (J-USA);Goods-related services (J-USA);Transport (J-USA);Air transport (J-USA);Travel (J-USA);Financial services (J-USA);Telecommunications, computer, and information services (J-USA)
2015;2100;149;761;237;134;167;122;10745;1221;1421;701;2041;19;1591;6246;834;2467;436;535;279;162;6919;274;2066;601;1543;31;259;53425;1508;6438;2120;4750;2373;3698
2016;2009;168;793;278;185;165;97;10431;1040;1510;834;2293;15;1468;6239;1293;2082;466;648;310;142;6757;352;1965;867;1464;27;256;56638;2012;6437;2031;5012;2379;4386
2017;2239;248;787;301;140;193;92;9950;974;1583;952;2084;17;1366;6522;1511;2270;476;600;229;117;7131;374;2067;924;1373;31;285;59060;2198;6833;2102;5223;2816;4137
2018;2405;332;723;299;258;161;108;11157;1114;1776;1164;2122;18;1574;6211;651;1813;162;1024;295;301;7248;297;2184;993;1285;37;365;60756;2017;4918;2027;6027;2939;5427
2019;2340;385;538;275;376;141;107;12142;1084;1763;1220;2084;22;1790;5575;273;1485;263;1097;290;330;7376;253;1888;914;1679;43;250;64723;3585;3185;1889;5756;3096;7245
